"time","pressure","temperature","conductivity","salinity","site","date"
2026-04-24 22:34:02.5,0.200523071289062,4.27865600585938,29.9498138427734,31.6447036455658,"AOF1",2026-04-24
2026-04-24 22:34:03,0.253346138000488,4.26040649414062,30.0059490203857,31.7278196368101,"AOF1",2026-04-24
2026-04-24 22:34:03.5,0.516264610290527,4.1988525390625,29.8977813720703,31.6605834867604,"AOF1",2026-04-24
2026-04-24 22:34:04,0.666139297485351,4.29486083984375,29.7845821380615,31.436169474835,"AOF1",2026-04-24
2026-04-24 22:34:04.5,0.864422492980957,4.30575561523438,29.0392799377441,30.5586188372385,"AOF1",2026-04-24
2026-04-24 22:34:05,0.976119689941406,4.28271484375,29.7030162811279,31.3525114613808,"AOF1",2026-04-24
2026-04-24 22:34:05.5,1.0338236618042,4.28201293945312,29.5878028869629,31.2188675735968,"AOF1",2026-04-24
2026-04-24 22:34:06,1.11097019195557,4.28826904296875,29.4342041015625,31.0340225056043,"AOF1",2026-04-24
2026-04-24 22:34:06.5,1.18922775268555,4.26840209960938,28.9433746337891,30.4817026110616,"AOF1",2026-04-24
2026-04-24 22:34:07,1.26612060546875,4.27609252929688,29.3885593414307,30.9922856329359,"AOF1",2026-04-24
2026-04-24 22:34:07.5,1.3314778137207,4.25845336914062,30.0667285919189,31.8001875303443,"AOF1",2026-04-24
2026-04-24 22:34:08,1.42440670013428,4.16497802734375,29.9530792236328,31.7575723220026,"AOF1",2026-04-24
2026-04-24 22:34:08.5,1.54462306976318,4.15313720703125,29.9297275543213,31.741605013436,"AOF1",2026-04-24
2026-04-24 22:34:09,1.72164886474609,4.13803100585938,29.8941841125488,31.7144654286874,"AOF1",2026-04-24
2026-04-24 22:34:09.5,2.03731601715088,4.12167358398438,29.8841514587402,31.718356187871,"AOF1",2026-04-24
2026-04-24 22:34:10,2.4379174041748,4.0794677734375,29.857837677002,31.7281074420802,"AOF1",2026-04-24
2026-04-24 22:34:10.5,2.87283485412598,3.97900390625,29.8211402893066,31.7821417786859,"AOF1",2026-04-24
2026-04-24 22:34:11,3.31282108306885,3.98934936523438,29.8470230102539,31.8023397774351,"AOF1",2026-04-24
2026-04-24 22:34:11.5,3.75339286804199,3.9599609375,29.8365173339844,31.8183113023551,"AOF1",2026-04-24
2026-04-24 22:34:12,4.1787735748291,3.94964599609375,29.8317604064941,31.8225227359798,"AOF1",2026-04-24
2026-04-24 22:34:12.5,4.62159698486328,3.97573852539062,29.9191646575928,31.899873657444,"AOF1",2026-04-24
2026-04-24 22:34:13,5.07344596862793,4.067138671875,30.0058174133301,31.9125563697647,"AOF1",2026-04-24
2026-04-24 22:34:13.5,5.53459518432617,4.03848266601562,29.9898281097412,31.9214352515755,"AOF1",2026-04-24
2026-04-24 22:34:14,5.99293869018555,3.97366333007812,29.9384880065918,31.9239626379253,"AOF1",2026-04-24
2026-04-24 22:34:14.5,6.44625823974609,3.91262817382812,29.8970794677734,31.9344862135355,"AOF1",2026-04-24
2026-04-24 22:34:15,6.88720481872559,3.88180541992188,29.8782653808594,31.9421687988149,"AOF1",2026-04-24
2026-04-24 22:34:15.5,7.32848899841309,3.85006713867188,29.8551139831543,31.9456229799897,"AOF1",2026-04-24
2026-04-24 22:34:16,7.78441017150879,3.8211669921875,29.840217590332,31.9560546648955,"AOF1",2026-04-24
2026-04-24 22:34:16.5,8.23472564697266,3.80059814453125,29.8139953613281,31.9449282967855,"AOF1",2026-04-24
2026-04-24 22:34:17,8.67720764160156,3.7421875,29.7816905975342,31.9636604327228,"AOF1",2026-04-24
2026-04-24 22:34:17.5,9.13207405090332,3.73516845703125,29.7779865264893,31.9659173719462,"AOF1",2026-04-24
2026-04-24 22:34:18,9.58472412109375,3.72882080078125,29.7762050628662,31.9697977170253,"AOF1",2026-04-24
2026-04-24 22:34:18.5,10.0272728729248,3.7198486328125,29.7724456787109,31.9739128865421,"AOF1",2026-04-24
2026-04-24 22:34:19,10.4743305969238,3.7320556640625,29.7871150970459,31.9791063000258,"AOF1",2026-04-24
2026-04-24 22:34:19.5,10.9008862304687,3.7349853515625,29.7935123443604,31.9835991894369,"AOF1",2026-04-24
2026-04-24 22:34:20,11.3443257141113,3.73544311523438,29.7953491210938,31.985099974966,"AOF1",2026-04-24
2026-04-24 22:34:20.5,11.7042919921875,3.7301025390625,29.7965297698975,31.9915565552891,"AOF1",2026-04-24
2026-04-24 22:34:21,11.7425648498535,3.73251342773438,29.7996349334717,31.9928534467163,"AOF1",2026-04-24
2026-04-24 22:34:21.5,11.7251965332031,3.73583984375,29.8148593902588,32.0076541560348,"AOF1",2026-04-24
2026-04-24 22:34:22,11.6684834289551,3.73678588867188,29.8131637573242,32.0047432708429,"AOF1",2026-04-24
2026-04-24 22:34:22.5,11.8218266296387,3.73455810546875,29.8034172058105,31.9952915767172,"AOF1",2026-04-24
2026-04-24 22:34:23,11.9040409851074,3.7337646484375,29.8111782073975,32.0052335501382,"AOF1",2026-04-24
2026-04-24 22:34:23.5,11.9036022949219,3.73751831054688,29.819486618042,32.0114020293171,"AOF1",2026-04-24
2026-04-24 22:34:24,11.8944355773926,3.74038696289062,29.8137187957764,32.0017494222618,"AOF1",2026-04-24
2026-04-24 22:34:24.5,11.853511505127,3.73867797851562,29.8218402862549,32.0130804297184,"AOF1",2026-04-24
2026-04-24 22:34:25,11.9973408508301,3.72781372070312,29.7107753753662,31.8919464600479,"AOF1",2026-04-24
2026-04-24 22:34:25.5,12.0227886962891,3.7352294921875,29.8095111846924,32.001756746721,"AOF1",2026-04-24
2026-04-24 22:34:26,12.0487992095947,3.73458862304688,29.8271865844727,32.0233381473306,"AOF1",2026-04-24
2026-04-24 22:34:26.5,12.059602432251,3.73678588867188,29.828088760376,32.0222439089254,"AOF1",2026-04-24
2026-04-24 22:34:27,12.1159817504883,3.7347412109375,29.8239212036133,32.0192802621896,"AOF1",2026-04-24
2026-04-24 22:34:27.5,12.1329685974121,3.73541259765625,29.8374881744385,32.0347048711957,"AOF1",2026-04-24
2026-04-24 22:34:28,12.1038357543945,3.73684692382812,29.8301372528076,32.0245909035172,"AOF1",2026-04-24
2026-04-24 22:34:28.5,12.1182858276367,3.74188232421875,29.8238048553467,32.0121268924315,"AOF1",2026-04-24
2026-04-24 22:34:29,12.4057499694824,3.71832275390625,29.7981338500977,32.0046648853883,"AOF1",2026-04-24
2026-04-24 22:34:29.5,12.8028790283203,3.71258544921875,29.789478302002,31.9998237539129,"AOF1",2026-04-24
2026-04-24 22:34:30,13.2131916809082,3.70611572265625,29.7843246459961,31.9998500813953,"AOF1",2026-04-24
2026-04-24 22:34:30.5,13.6398083496094,3.69659423828125,29.7827320098877,32.0070937223897,"AOF1",2026-04-24
2026-04-24 22:34:31,14.0703617858887,3.69979858398438,29.7915439605713,32.0141847691176,"AOF1",2026-04-24
2026-04-24 22:34:31.5,14.5104405212402,3.70101928710938,29.7931175231934,32.014626182149,"AOF1",2026-04-24
2026-04-24 22:34:32,14.9530598449707,3.701171875,29.7944087982178,32.0157808586707,"AOF1",2026-04-24
2026-04-24 22:34:32.5,15.3849674987793,3.70138549804688,29.7944755554199,32.0154273526538,"AOF1",2026-04-24
2026-04-24 22:34:33,15.8228070068359,3.70162963867188,29.7952194213867,32.0158446414663,"AOF1",2026-04-24
2026-04-24 22:34:33.5,16.2651249694824,3.7017822265625,29.7970008850098,32.0175813795683,"AOF1",2026-04-24
2026-04-24 22:34:34,16.7004238891602,3.70156860351562,29.7978782653809,32.0186083793441,"AOF1",2026-04-24
2026-04-24 22:34:34.5,17.1227947998047,3.70095825195312,29.7999401092529,32.0214381824638,"AOF1",2026-04-24
2026-04-24 22:34:35,17.5578190612793,3.6971435546875,29.7985763549805,32.0233445569945,"AOF1",2026-04-24
2026-02-23 20:56:22,0.357739143371582,3.36029052734375,25.7910537719727,27.6048130046429,"AOF1",2026-02-23
2026-02-23 20:56:22.5,0.573654823303222,3.34915161132812,29.2472095489502,31.7162600532556,"AOF1",2026-02-23
2026-02-23 20:56:23,0.861585311889648,3.35696411132812,29.364818572998,31.8492678155833,"AOF1",2026-02-23
