Date (MM/DD/YYYY),Time (hh:mm:ss tt),Time (Fract. Sec),Site Name,Battery Power ( voltage ),Cable Power ( voltage ),Chlorophyll ( RFU ),Chlorophyll ( µg/L ),Phycoerythrin ( RFU ),Phycoerythrin ( µg/L ),Phycoerythrin ( cells/mL ),Chlorophyll ( cells/mL ),Temp ( °C ),Cond ( µS/cm ),Sp Cond ( µS/cm ),Sal ( psu ),nLFCond ( µS/cm ),TDS ( mg/L ),Turbidity ( FNU ),TSS ( mg/L ),DO ( % Sat ),DO ( mg/L ),DO ( % CB ),Absolute Pressure ( psi a ),Depth ( m ),Vertical Position ( m ),Resistivity ( ohms-cm ),Water Density ( Sigma ),Water Density ( Sigma-T ),Fault Code
10/22/2023,12:38:29 PM,0,ROK1,5.92,0,0.3,0.96,0.15,-1.97,0,0,6.454,0,0,0,0,0,15.48,0,97.3,11.99,101.6,0.656,0.462,0.461,-107045650,,,0
10/22/2023,12:38:30 PM,0,ROK1,5.92,0,0.24,0.71,0.06,-2.22,0,0,6.467,0,0,0,0,0,15.47,0,97.4,11.99,101.7,0.659,0.463,0.464,-593286460,,,0
10/22/2023,12:38:31 PM,0,ROK1,5.92,0,0.2,0.57,0.25,-1.69,0,0,6.463,0,0,0,0,0,15.52,0,97.5,12,101.8,0.658,0.463,0.468,-6474813400,,,0
10/22/2023,12:38:32 PM,0,ROK1,5.92,0,0.17,0.44,0.48,-1.04,0,0,6.453,0,0,0,0,0,15.68,0,97.7,12.02,102,0.656,0.461,0.461,-210626500,,,0
10/22/2023,12:38:33 PM,0,ROK1,5.92,0,0.25,0.76,0.56,-0.8,0,0,6.435,0,0,0,0,0,15.6,0,97.9,12.05,102.2,0.656,0.461,0.459,-455406600,,,0
10/22/2023,12:38:34 PM,0,ROK1,5.92,0,0.34,1.11,0.08,-2.16,0,0,6.41,0,0,0,0,0,15.36,0,98,12.07,102.3,0.657,0.462,0.463,-310896480,,,0
10/22/2023,12:38:35 PM,0,ROK1,5.92,0,0.29,0.93,-0.3,-3.23,0,0,6.385,0,0,0,0,0,15.31,0,97.8,12.05,102.1,0.657,0.462,0.467,-136989840,,,0
10/22/2023,12:38:36 PM,0,ROK1,5.92,0,0.25,0.76,0.22,-1.76,0,0,6.363,0,0,0,0,0,15.37,0,97.9,12.07,102.2,0.656,0.461,0.461,-310868800,,,0
10/22/2023,12:38:37 PM,0,ROK1,5.92,0,0.21,0.6,0.31,-1.52,0,0,6.342,0,0,0,0,0,15.43,0,98.1,12.11,102.4,0.658,0.463,0.46,726346200,,,0
10/22/2023,12:38:38 PM,0,ROK1,5.92,0,0.2,0.57,0.03,-2.3,0,0,6.344,0,0,0,0,0,15.54,0,98.2,12.12,102.5,0.658,0.463,0.464,-593352450,,,0
10/22/2023,12:38:39 PM,0,ROK1,5.92,0,0.2,0.56,0.05,-2.25,0,0,6.356,0,0,0,0,0,15.55,0,98.3,12.13,102.6,0.658,0.463,0.468,-268315630,,,0
10/22/2023,12:38:40 PM,0,ROK1,5.92,0,0.24,0.73,0.11,-2.08,0,0,6.388,0,0,0,0,0,15.47,0,98.3,12.13,102.6,0.658,0.462,0.462,-268308420,,,0
10/22/2023,12:38:41 PM,0,ROK1,5.92,0,0.3,0.94,0.1,-2.1,0,0,6.411,0,0,0,0,0,15.51,0,98.1,12.09,102.4,0.658,0.463,0.462,-268320660,,,0
10/22/2023,12:38:42 PM,0,ROK1,5.92,0,0.25,0.76,0.16,-1.92,0,0,6.422,0,0,0,0,0,15.54,0,98,12.07,102.3,0.658,0.463,0.462,-159261380,,,0
10/22/2023,12:38:43 PM,0,ROK1,5.92,0,0.26,0.78,0.21,-1.78,0,0,6.43,0,0,0,0,0,15.51,0,98,12.07,102.3,0.658,0.462,0.467,-173342600,,,0
10/22/2023,12:38:44 PM,0,ROK1,5.92,0,0.22,0.65,0.01,-2.35,0,0,6.431,0,0,0,0,0,15.53,0,98,12.06,102.3,0.657,0.462,0.461,-593291700,,,0
10/22/2023,12:38:45 PM,0,ROK1,5.92,0,0.17,0.45,-0.04,-2.51,0,0,6.428,0,0,0,0,0,15.66,0,98,12.06,102.3,0.657,0.462,0.461,-851040400,,,0
10/22/2023,12:38:46 PM,0,ROK1,5.92,0,0.2,0.54,0.2,-1.82,0,0,6.424,0,0,0,0,0,15.6,0,98,12.07,102.3,0.658,0.462,0.464,529882180,,,0
10/22/2023,12:38:47 PM,0,ROK1,5.92,0,0.24,0.7,0.17,-1.9,0,0,6.421,0,0,0,0,0,15.55,0,98,12.07,102.3,0.658,0.463,0.469,104799656,,,0
10/22/2023,12:38:48 PM,0,ROK1,5.93,0,0.23,0.68,0.02,-2.32,0,0,6.419,0,0,0,0,0,15.59,0,98.1,12.09,102.4,0.657,0.462,0.462,143057940,,,0
10/22/2023,12:38:49 PM,0,ROK1,5.93,0,0.28,0.86,0.09,-2.14,0,0,6.419,0,0,0,0,0,15.55,0,98,12.08,102.4,0.656,0.461,0.461,-1504185000,,,0
10/22/2023,12:38:50 PM,0,ROK1,5.93,0,0.33,1.09,0.06,-2.22,0,0,6.421,0,0,0,0,0,15.51,0,98,12.07,102.3,0.656,0.461,0.46,-1504787000,,,0
